species,LA,SLA,LDMCsimple,PL,LT,F2P,sFtP,Ft,QY,Chlorophyll,WD,LD,SV,P,N
Inga pavoneana,0.064209639,18.61193695,0.393176862,3.7375,0.182,0.334369103,1.883912453,219.35,0.67357,62.0125,0.42,0.496500447,194.8278319,1.56,35.509
Iresine arbuscula,0.004717222,21.58267963,0.252808836,1.114,0.173,0.26828727,1.556176575,248.65,0.76197,41.7,0.48,0.286643125,0.49742,1.584,32.454
Lacistema aggregatum,0.005321164,14.6311108,0.301473318,0.763,0.241,0.305338007,1.296822587,241.15,0.694085,54.64166667,0.582119911,0.31279106,73.99105198,1.014,26.703
Licania hypoleuca,0.003142697,13.93362355,0.5162593,0.5175,0.127,0.282482033,2.23405261,257.55,0.716215,46.835,0.856042896,0.589618397,75.40626616,1.25,17.891
Licania platypus,0.023638179,11.79840406,0.451636431,1.1725,0.182,0.404701345,2.220618097,233.4,0.731545,45.185,0.652231587,0.468126352,23561.9449,0.615,13.638
Indagofera fruticosa,0.017058738,24.36970674,0.41444191,6.2945,0.118,0.158578596,1.375421255,230.15,0.752615,54.75833333,0.573360109,0.498160923,170.3406094,1.958,19.745
Luehea speciosa,0.015101872,11.16155893,0.547849865,1.2265,0.197,0.268768448,1.396521066,155,0.677785,46.42916667,0.670818959,0.516334286,2.895027572,1.608,27.257
Miconia amplia,0.054170541,15.62528826,0.341235413,10.4685,0.161,0.213833915,1.377285952,260.05,0.753405,48.485,0.666016257,0.507432613,NA,1.34,24.001
Miconia glaberrima,0.009426875,17.77269737,0.25774675,2.098,0.207,0.189374013,0.987770586,215.75,0.74447,49.335,0.554344706,0.311171482,0.101738318,1.201,29.059
Miconia trinervia,0.02197678,11.27846555,0.337336487,1.979,0.185,0.168806997,0.909622369,229.4,0.703285,41.57,0.474344813,0.47360715,0.802221434,0.471,18.675
Nectandra reticulata,0.003638616,13.30387797,0.440435744,1.245,0.179,0.28119889,1.616193743,245.85,0.725565,78.895,0.45,0.49232428,178.7663716,1.539,33.849
Nectandra salicifolia,0.004703933,16.151238,0.428889741,0.7855,0.166,0.220329823,1.329581525,222.8,0.715695,55.505,0.387087603,0.478032699,245.4622382,1.373,20.119
Ochroma pyramidale,0.106609055,15.55202975,0.403834351,28.425,0.138,0.18343948,1.365216921,178.2,0.72353,33.19375,0.19,0.473928203,2.945243113,2.359,30.076
